merk,model,vatting,brandpunt_mm,max_diafragma,jaar_van,jaar_tot,elementen,groepen,min_scherpstel_m,filter_mm,gewicht_g,lamellen,collectie
Petri,Auto Petri 1:2.8 f=28mm,M42,28.0,2.8,,,,,,,,,
Petri,Auto Petri 55mm f/1.8,M42,55.0,1.8,,,,,,,,,
Ricoh,Ricoh 50mm 1:2.0,Pentax K,50.0,2.0,,,,,,,,,
Ricoh,Ricoh XR Rikenon 1:1.4 50mm,Pentax K,50.0,1.4,,,,,,,,,
Ricoh,Rikenon P 50mm f/2,Pentax K,50.0,2.0,,,,,,,,,
Samyang,Samyang 10mm f/2.8 ED AS NCS CS,Nikon F AI,10.0,2.8,,,,,,,,,
Samyang,Samyang 12mm f/2.8 Fish-Eye ED AS NCS,Nikon F AI,12.0,2.8,,,,,,,,,
Samyang,Samyang 135mm f/2 ED UMC,Nikon F (pre-AI),135.0,2.0,,,,,,,,,
Samyang,Samyang 14mm f/2.8 AE ED AS IF UMC,Nikon F AI,14.0,2.8,,,,,,,,,
Samyang,Samyang 20mm f/1.8 ED AS UMC,Nikon F AI,20.0,1.8,,,,,,,,,
Samyang,Samyang 24mm f/1.4 ED AS IF UMC,Pentax K,24.0,1.4,,,,,,,,,
Samyang,Samyang 35mm f/1.4 AS UMC,Nikon F AI,35.0,1.4,,,,,,,,,
Samyang,Samyang 500mm f/6.3 MC IF Mirror Lens,T2,500.0,6.3,,,,,,,,,
Samyang,Samyang 800mm f/8 Mirror DX,T2,800.0,8.0,,,,,,,,,
Samyang,Samyang 85mm f/1.4 IF UMC Aspherical,Nikon F AI,85.0,1.4,,,,,,,,,
Samyang,Samyang 8mm f/3.5 Fish-Eye CS,Nikon F AI,8.0,3.5,,,,,,,,,
Samyang,Samyang T-S 24mm f/3.5 ED AS UMC,Nikon F AI,24.0,3.5,,,,,,,,,
Schneider-Kreuznach,Curtagon 35mm f/4,M42,35.0,4.0,,,,,,,,,
Schneider-Kreuznach,PC-Super-Angulon 28mm f/2.8,Nikon F AI-S,28.0,2.8,,,,,,,,,
Schneider-Kreuznach,Retina-Curtagon 1:4/28mm,Deckel DKL,28.0,4.0,,,,,,,,,
Schneider-Kreuznach,Retina-Curtagon 28mm f/4,Deckel DKL,28.0,4.0,,,,,,,,,
Schneider-Kreuznach,Retina-Curtagon 35mm f/2.8,Deckel DKL,35.0,2.8,,,,,,,,,
Schneider-Kreuznach,Retina-Tele-Arton 85mm f/4,Deckel DKL,85.0,4.0,,,,,,,,,
Schneider-Kreuznach,Retina-Tele-Xenar 135mm f/4,Deckel DKL,135.0,4.0,,,,,,,,,
Schneider-Kreuznach,Retina-Xenon 50mm f/1.9,Deckel DKL,50.0,1.9,,,,,,,,,
Schneider-Kreuznach,Tele-Xenar 90mm f/3.5,M42,90.0,3.5,,,,,,,,,
Sigma,Sigma 15mm f/2.8 EX DG Diagonal Fisheye,Nikon F (pre-AI),15.0,2.8,,,,,,,,,
Sigma,Sigma 180mm f/5.6 APO Macro,Canon FD,180.0,5.6,,,,,,,,,
Steinheil München,Auto-D-Quinaron 35mm f/2.8,M42,35.0,2.8,,,,,,,,,
Steinheil München,Auto-D-Tele-Quinar 135mm f/2.8,M42,135.0,2.8,,,,,,,,,
Steinheil München,Culminar 85mm f/2.8,M42,85.0,2.8,,,,,,,,,
Sun,Sun Wide YS-28 28mm f/2.8,Olympus OM,28.0,2.8,,,,,,,,,
Tokina,RMC Tokina 28mm f/2.8,M42,28.0,2.8,,,,,,,,,
Tokina,Tokina 17mm f/3.5 RMC II,Nikon F AI,17.0,3.5,,,,,,,,,
Tokina,Tokina 500mm f/8 RMC Mirror Lens,Canon FD,500.0,8.0,,,,,,,,,
Tokina,Tokina TELE-AUTO 135mm f/2.8,M42,135.0,2.8,,,,,,,,,
Toshiba,Tosner MC 28mm f/2.8,M42,28.0,2.8,,,,,,,,,
Venus,Laowa 12mm f/2.8 Zero-D,Nikon F (pre-AI),12.0,2.8,,,,,,,,,
Venus,Laowa 15mm f/4 Wide Angle Macro,M42,15.0,4.0,,,,,,,,,
Venus,Laowa 60mm f/2.8 2X Ultra-Macro,Nikon F (pre-AI),60.0,2.8,,,,,,,,,
Venus,Laowa 85mm f/5.6 2X Ultra Macro APO,Leica M,85.0,5.6,,,,,,,,,
Voigtländer,Voigtlander Color-Ultron 50mm f/1.8,M42,50.0,1.8,,,,,,,,,
Voigtländer,Voigtlander Nokton 28mm F1.5 Aspherical,Leica M,28.0,1.5,,,,,,,,,
Voigtländer,Voigtlander Ultron 40mm f/2 SLII Aspherical,Nikon F AI-S,40.0,2.0,,,,,,,,,
Yashica,Yashica DSB 55mm f/2,Contax/Yashica,55.0,2.0,,,,,,,,,
Yashica,Yashica ML 50mm f/1.7,Contax/Yashica,50.0,1.7,,,,,,,,,
Yashica,Yashica ML 50mm f/2,Contax/Yashica,50.0,2.0,,,,,,,,,
Yashica,Yashica ML 55mm F/4 Macro,Contax/Yashica,55.0,4.0,,,,,,,,,
Yongnuo,Yongnuo YN 35mm f/2,Nikon F (pre-AI),35.0,2.0,,,,,,,,,
Zeiss,Carl Zeiss Jena 1Q Biotar 1:2 f=58mm T,M42,58.0,2.0,,,,,,,,,
Zeiss,Carl Zeiss Jena Biotar 58mm f/2,M42,58.0,2.0,,,,,,,,,
Zeiss,Carl Zeiss Jena Flektogon 20mm f/4,M42,20.0,4.0,,,,,,,,,
Zeiss,Carl Zeiss Jena Flektogon 35mm f/2.4,M42,35.0,2.4,,,,,,,,,
Zeiss,Carl Zeiss Jena Pancolar 50mm f/1.8,M42,50.0,1.8,,,,,,,,,
Zeiss,Carl Zeiss Jena Sonnar 135mm f/3.5,M42,135.0,3.5,,,,,,,,,
Zeiss,Carl Zeiss Jena Tessar 50mm f/2.8,M42,50.0,2.8,,,,,,,,,
Zeiss,Carl Zeiss Jena Triotar-v2 135mm f/4,M42,135.0,4.0,,,,,,,,,
Zeiss,Carl Zeiss Sonnar T* 180mm f/2.8 MMJ,Contax/Yashica,180.0,2.8,,,,,,,,,
Zeiss,Zeiss Distagon T* 25mm f/2.8 ZF.2,Nikon F AI-S,25.0,2.8,,,,,,,,,
Zenit,Zenitar MC 16mm f/2.8,M42,16.0,2.8,,,,,,,,,
